OBJECTID,Company,Address,City,State,ZipCode,Better_Lat,Better_Long,SquareFeet,Common_Name,Notes,PHONE,FAX,EMAIL,WEBSITE,DIG_MEMBER,Data_Source,Centroid_X,Centroid_Y,ORIG_FID
1,NAFSU ENTERPRISES INC                             ,10320 PLYMOUTH RD                                 ,DETROIT                       ,MI,48204,42.373652,-83.162775,15879.4521033516,Shop A Lot Food Center,,,,,,,NETS/Devries,-83.1628942363021,42.3736337547953,1
2,RED FOX FOODLAND                                  ,10333 FENKELL ST                                  ,DETROIT                       ,MI,48238,42.40218,-83.163377,16130.7408554916,Red Fox Foodland,,,,,,,NETS/Devries,-83.1634598358443,42.4021777915938,2
3,X Z INC                                           ,11100 MACK AVE                                    ,DETROIT                       ,MI,48214,42.377829,-82.980885,14160.2905416609,,Closed. Building for sale and phone off. - RL,,,,,,NETS/Devries,-82.9804107748755,42.3780312925027,3
4,UNIVERSITY FOOD CENTER INC                        ,1131 W WARREN AVE                                 ,DETROIT                       ,MI,48201,42.3532,-83.0744,22100.8215539955,University Foods,,(313) 833-0815,(313) 833-5648,nyaldoo@spartanstores.com,http://universityfoodsmidtown.com/,Yes,NETS/Devries,-83.0744777548527,42.3526439996749,4
5,SAVE A LOT                                        ,11825 WOODWARD AVE,DETROIT                       ,MI,48203,42.3937,-83.0893,16124.320667201,Save A Lot,Not in Detroit?  Seems to be in Highland Park RL,,,,,,NETS/Devries,-83.0895924558051,42.3938278767807,5
6,MR CS SUPERMARKET INC                             ,12055 MORANG DR                                   ,DETROIT                       ,MI,48224,42.4266,-82.9516,11388.1356521366,Morang Super Market,,,,,,,NETS/Devries,-82.9519694328362,42.4266377387239,6
7,BISHR POULTRY & FOOD CENTER                       ,12300 CONANT ST                                   ,DETROIT                       ,MI,48212,42.409509,-83.057026,5661.14964341623,Bishr Poultry & Food Center,,,,,,,NETS/Devries,-83.0570390214349,42.409471916649,7
8,GOLDEN BENGAL SEAFOOD INC                         ,12500 KLINGER ST                                  ,DETROIT                       ,MI,48212,42.410665,-83.060241,1857.12483478828,Shukriya Market,,,,,,,NETS/Devries,-83.0602913195892,42.4106601820506,8
9,BASHAR & MARK BROTHERS MKT INC                    ,12740 GRATIOT AVE                                 ,DETROIT                       ,MI,48205,42.4195,-82.9877,35373.4954653792,Mazen Foods,,(313) 839-6400,(313) 839-1322,,http://mazenfoods.net/,Yes,NETS/Devries,-82.9873107624474,42.4196549781673,9
10,GRAND PRICE INC                                   ,12955 GRAND RIVER AVE                             ,DETROIT                       ,MI,48227,42.3816,-83.1712,13626.7678541621,Grand Price Food Center,,(313) 934-1000,(313) 934-3680,grandprice@svharbor.com,,Yes,NETS/Devries,-83.1716208570997,42.3815319762735,10
11,NOYER INC                                         ,13210 E JEFFERSON AVE                             ,DETROIT                       ,MI,48215,42.3707,-82.9501,21459.73734629,Parkway Foods,,(313) 823-2444,(313) 823-9637,parkwayfoods@yahoo.com,,Yes,NETS/Devries,-82.949998186445,42.3696569065779,11
12,JOLIET INC                                        ,13999 HARPER AVE                                  ,DETROIT                       ,MI,48213,42.4036,-82.9685,13932.9741551448,Harper Food Center,,(313) 839-3770,(313) 839-9053,harperfoods@yahoo.com,,No,NETS/Devries,-82.9682426884628,42.403857668726,12
13,PASADENA INC                                      ,14040 GREENFIELD RD                               ,DETROIT                       ,MI,48227,42.389206,-83.197491,24930.3410105655,Food Giant Supermarket,,(313) 270-2800,(313) 270-2875,,,Yes,NETS/Devries,-83.1971532341129,42.389127954046,13
14,QUICK SHOP MARKET INC                             ,1421 SPRINGWELLS ST                               ,DETROIT                       ,MI,48209,42.305363,-83.123177,4421.89075761891,B & E Quick Shop Market,"Not a grocery?  No evidence of carts, etc. - RL",,,,,,NETS/Devries,-83.1232622472244,42.305341471014,14
15,SHKAGA INC                                        ,14424 SCHAEFER HWY                                ,DETROIT                       ,MI,48227,42.394397,-83.177884,22821.0184738275,Banner Super Store,,(313) 934-0325,(313) 934-2041,mahershina@hotmail.com,http://bannerfoods.com/,Yes,NETS/Devries,-83.1775408129803,42.3943023622285,15
16,RIVERS LAND SUPERMARKET                           ,16010 W WARREN AVE                                ,DETROIT                       ,MI,48228,42.343842,-83.201595,3055.82180301651,River's Land Produce and Halal Meats,,,,,,,NETS/Devries,-83.2014703990755,42.3438699949004,16
17,MEXICANTOWN SUPERMERCADO                          ,1614 LANSING ST                                   ,DETROIT                       ,MI,48209,42.318413,-83.097309,14454.5459025059,Sam's Supermercado Y Carniceria,,,,,,,NETS/Devries,-83.0973485478355,42.318494879648,17
18,FENKELL SUPER MARKET INC                          ,16159 FENKELL ST                                  ,DETROIT                       ,MI,48227,42.4012,-83.2064,3548.68825582594,Fenkell Super Foods,"Not a grocery?  No evidence of carts, etc. - RL",,,,,,NETS/Devries,-83.2063528341023,42.4011356759175,18
19,GATEAY SUPERMARKET                                ,16231 PLYMOUTH RD                                 ,DETROIT                       ,MI,48227,42.3723,-83.2052,13042.1595044122,Gateway Supermarket,"Closed. Phone disconnected, looks empty, etc. - RL",,,,,,NETS/Devries,-83.2054925760164,42.3721784617451,19
